	"DRR357080"	"DRR357081"	"DRR357082"	"DRR357083"	"DRR357084"
"ENSG00000010270"	641.00	703.00	499.00	561.00	621.00
"ENSG00000010278"	14654.00	15660.00	9048.00	10060.00	12294.03
"ENSG00000010282"	0.00	0.00	0.00	1.00	0.00
"ENSG00000010292"	10246.00	10329.00	7157.18	8106.00	9816.00
"ENSG00000010295"	1.00	5.00	2.00	0.00	3.00
"ENSG00000010310"	225.00	181.00	137.00	154.00	232.03
"ENSG00000010318"	111.00	89.00	71.00	76.00	98.00
"ENSG00000010319"	1.00	1.00	0.00	0.00	1.00
"ENSG00000010322"	1213.00	1173.00	667.00	695.00	1061.00
"ENSG00000010327"	0.00	0.00	0.00	1.00	1.00
"ENSG00000010361"	208.00	242.00	116.00	146.00	188.00
"ENSG00000010379"	1.00	0.00	0.00	1.00	2.00
"ENSG00000010404"	2347.27	2354.60	1564.55	1781.03	2251.55
"ENSG00000010438"	252.00	242.00	474.00	529.00	636.00
"ENSG00000010539"	165.00	174.00	156.00	143.00	194.00
"ENSG00000010610"	1.00	0.00	0.00	1.00	0.00
"ENSG00000010626"	112.65	116.95	104.71	136.01	144.65
"ENSG00000010671"	1.02	2.00	1.00	1.00	0.00
"ENSG00000010704"	268.03	265.08	176.00	237.01	258.00
"ENSG00000010803"	244.00	276.00	187.00	219.00	294.00
"ENSG00000010810"	48.00	29.00	22.00	27.00	14.00
"ENSG00000010818"	331.00	289.00	243.00	274.00	378.00
"ENSG00000010932"	0.00	0.00	0.00	0.00	0.00
"ENSG00000011007"	1740.00	1722.00	1463.00	1649.00	1896.00
"ENSG00000011009"	2569.00	2605.00	2114.00	2374.00	2667.00
"ENSG00000011021"	610.55	569.54	401.00	455.09	637.00
"ENSG00000011028"	3204.00	3194.00	2234.00	2609.00	3238.00
"ENSG00000011052"	16.33	34.58	34.07	64.35	50.20
"ENSG00000011083"	1.00	0.00	1.00	0.00	1.00
"ENSG00000011105"	165.00	139.00	215.00	248.00	273.00
"ENSG00000011114"	1482.00	1518.00	1254.00	1453.00	1804.00
"ENSG00000011132"	439.00	444.00	402.00	343.00	502.16
"ENSG00000011143"	440.24	415.14	343.70	337.54	445.00
"ENSG00000011198"	308.00	307.00	237.00	315.00	354.00
"ENSG00000011201"	106.00	96.00	25.00	31.00	30.00
"ENSG00000011243"	1441.00	1382.00	1208.00	1293.00	1740.00
"ENSG00000011258"	429.00	396.00	308.00	314.00	429.00
"ENSG00000011260"	531.00	555.00	612.00	710.00	751.00
"ENSG00000011275"	1113.00	1164.00	1188.04	1376.00	1629.00
"ENSG00000011295"	811.49	904.00	738.59	857.22	1047.78
"ENSG00000011304"	11357.00	11882.00	10051.00	11636.00	13147.21
"ENSG00000011332"	87.00	93.00	98.00	105.00	127.00
